Field,ID,Type (Type),default,en-us,en-au,en-ca,en-gb,de,es-es,es-mx,fr,it,ja,ko,nl,pt-br,pt-pt,ru,sv,zh-hans,zh-hant
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption11,560,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption12,561,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption13,562,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption14,563,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption15,564,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption16,565,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption17,566,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption18,567,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption19,568,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption20,569,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption21,570,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption22,571,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption23,572,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption24,573,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption25,574,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption26,575,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption27,576,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption28,577,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption29,578,Text,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption30,579,Text,,,,,,,,,,,,,,,,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Feature1,700,Text,,Local media playback with responsive design.,Local media playback with responsive design.,Local media playback with responsive design.,Local media playback with responsive design.,Lokale Medienwiedergabe mit responsivem Design.,Reproducción de medios locales con diseño responsivo.,Reproducción de medios locales con diseño responsivo.,Lecture de médias locaux avec un design réactif.,Riproduzione multimediale locale con design reattivo.,レスポンシブデザインのローカルメディア再生。,반응형 디자인으로 로컬 미디어 재생.,Lokale media afspelen met een responsief ontwerp.,Reprodução de mídia local com design responsivo.,Reprodução de multimédia local com design responsivo.,Воспроизведение локальных медиа с адаптивным дизайном.,Spela upp lokal media med responsiv design.,响应式设计的本地媒体播放功能。,具備響應式設計的本機媒體播放功能。
Feature2,701,Text,,Personal watch tracker and review journal.,Personal watch tracker and review journal.,Personal watch tracker and review journal.,Personal watch tracker and review journal.,Persönlicher Watch-Tracker und Bewertungsjournal.,Rastreador personal de visualización y diario de reseñas.,Rastreador personal de visualización y reseñas.,Tracker personnel de visionnage et journal de critiques.,Tracker personale di visualizzazione e diario delle recensioni.,個人的な視聴記録とレビュー作成。,개인 시청 추적 및 리뷰 저널.,Persoonlijke kijk-tracker en review logboek.,Rastreador de visualizações pessoal e diário de avaliações.,Registo pessoal de visualizações e diário de críticas.,Личный трекер просмотров и журнал отзывов.,Personlig tracker för visningar och recensioner.,个人观看历史记录和评论日记。,個人觀看歷史追蹤和評論日誌。
Feature3,702,Text,,"Privacy-first: no tracking, no telemetry, and no account required.","Privacy-first: no tracking, no telemetry, and no account required.","Privacy-first: no tracking, no telemetry, and no account required.","Privacy-first: no tracking, no telemetry, and no account required.","Privacy-first: kein Tracking, keine Telemetrie und kein Konto erforderlich.","Privacidad ante todo: sin seguimiento, sin telemetría y sin necesidad de cuenta.","Privacidad primero: sin rastreo, sin telemetría y sin cuenta.","Priorité à la confidentialité : aucun suivi, aucune télémétrie, aucun compte requis.","La privacy prima di tutto: nessun tracciamento, nessuna telemetria e nessun account.",プライバシー第一：トラッキング、テレメトリなし、アカウント不要。,"개인 정보 보호 최우선: 추적 없음, 원격 측정 없음, 계정 필요 없음.","Privacy voorop: geen tracking, geen telemetrie en geen account nodig.","Privacidade em primeiro lugar: sem rastreamento, sem telemetria e sem conta.","A privacidade em primeiro lugar: sem rastreamento, sem telemetria e sem conta.","Конфиденциальность: без отслеживания, телеметрии и без учетной записи.","Integritet först: ingen spårning, ingen telemetri, inget konto krävs.",隐私至上：无跟踪，无遥测，无需帐户。,隱私優先：無追蹤，無遙測，無需帳戶。
Feature4,703,Text,,Fully open-source platform built with native performance.,Fully open-source platform built with native performance.,Fully open-source platform built with native performance.,Fully open-source platform built with native performance.,"Vollständig quelloffene Plattform, entwickelt mit nativer Leistung.",Plataforma totalmente de código abierto construida con rendimiento nativo.,Plataforma de código abierto creada con rendimiento nativo.,Plateforme 100 % open-source conçue pour des performances natives.,Piattaforma completamente open source sviluppata con prestazioni native.,ネイティブパフォーマンスで構築された完全なオープンソースプラットフォーム。,기본 성능으로 구축된 완전한 오픈 소스 플랫폼.,Volledig open-source platform gebouwd met native prestaties.,Plataforma totalmente de código aberto com desempenho nativo.,Plataforma totalmente de código aberto construída com desempenho nativo.,Полностью открытая платформа с высокой производительностью.,Helt öppen källkods plattform byggd med inbyggd prestanda.,完全开源的平台，具有原生性能。,完全開源的平台，具備原生效能。
Feature5,704,Text,,"Accessible interface supporting keyboard, touch, and screen-reader navigation.","Accessible interface supporting keyboard, touch, and screen-reader navigation.","Accessible interface supporting keyboard, touch, and screen-reader navigation.","Accessible interface supporting keyboard, touch, and screen-reader navigation.","Zugängliche Benutzeroberfläche mit Unterstützung für Tastatur, Touch und Screenreader.","Interfaz accesible que admite navegación con teclado, táctil y lector de pantalla.","Interfaz accesible con soporte para teclado, pantalla táctil y lector de pantalla.","Interface accessible compatible avec clavier, écran tactile et lecteur d'écran.","Interfaccia accessibile che supporta tastiera, tocco e screen reader.",キーボード、タッチ、スクリーンリーダーのナビゲーションをサポートするアクセシブルなインターフェイス。,"키보드, 터치 및 화면 판독기 탐색을 지원하는 접근성 인터페이스.","Toegankelijke interface met ondersteuning voor toetsenbord, aanraking en schermlezers.","Interface acessível com suporte a navegação por teclado, toque e leitor de tela.","Interface acessível com suporte a teclado, toque e leitor de ecrã.","Доступный интерфейс с поддержкой клавиатуры, сенсора и чтения с экрана.","Tillgängligt gränssnitt som stöder tangentbord, pek- och skärmläsare.",支持键盘、触摸和屏幕阅读器导航的无障碍界面。,支援鍵盤、觸控和螢幕閱讀器導航的無障礙介面。
Feature6,705,Text,,,,,,,,,,,,,,,,,,,
Feature7,706,Text,,,,,,,,,,,,,,,,,,,
Feature8,707,Text,,,,,,,,,,,,,,,,,,,
Feature9,708,Text,,,,,,,,,,,,,,,,,,,
Feature10,709,Text,,,,,,,,,,,,,,,,,,,
Feature11,710,Text,,,,,,,,,,,,,,,,,,,
Feature12,711,Text,,,,,,,,,,,,,,,,,,,
Feature13,712,Text,,,,,,,,,,,,,,,,,,,
Feature14,713,Text,,,,,,,,,,,,,,,,,,,
Feature15,714,Text,,,,,,,,,,,,,,,,,,,
Feature16,715,Text,,,,,,,,,,,,,,,,,,,
Feature17,716,Text,,,,,,,,,,,,,,,,,,,
Feature18,717,Text,,,,,,,,,,,,,,,,,,,
Feature19,718,Text,,,,,,,,,,,,,,,,,,,
Feature20,719,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,,,,,,,,,,,,
SearchTerm1,900,Text,,video player,video player,video player,video player,videoplayer,reproductor de video,reproductor de video,lecteur vidéo,lettore video,動画プレーヤー,비디오 플레이어,videospeler,reprodutor de vídeo,reprodutor de vídeo,видеоплеер,videospelare,视频播放器,影片播放器
SearchTerm2,901,Text,,media player,media player,media player,media player,mediaplayer,reproductor multimedia,reproductor multimedia,lecteur multimédia,lettore multimediale,メディアプレーヤー,미디어 플레이어,mediaspeler,reprodutor de mídia,reprodutor de multimédia,медиаплеер,mediaspelare,媒体播放器,媒體播放器
SearchTerm3,902,Text,,watch tracker,watch tracker,watch tracker,watch tracker,watch tracker,rastreador,rastreador,tracker de films,tracker film,視聴記録,시청 추적기,kijk tracker,rastreador de filmes,registo de filmes,трекер фильмов,film tracker,观看记录,觀看記錄
SearchTerm4,903,Text,,movies,movies,movies,movies,filme,películas,películas,films,film,映画,영화,films,filmes,filmes,фильмы,filmer,电影,電影
SearchTerm5,904,Text,,tv tracker,tv tracker,tv tracker,tv tracker,tv tracker,series,series,tracker de séries,tracker serie,テレビ番組,TV 프로그램,tv series,séries,séries,сериалы,tv-serier,电视剧,影集
SearchTerm6,905,Text,,media center,media center,media center,media center,media center,centro multimedia,centro multimedia,media center,media center,メディアセンター,미디어 센터,media center,central de mídia,centro de multimédia,медиацентр,media center,媒体中心,媒體中心
SearchTerm7,906,Text,,video library,video library,video library,video library,videobibliothek,biblioteca de videos,biblioteca de video,bibliothèque vidéo,libreria video,ビデオライブラリ,비디오 라이브러리,videobibliotheek,biblioteca de vídeos,biblioteca de vídeos,видеотека,videobibliotek,视频库,影片庫
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,,,,,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,,,,,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription14,1083,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
TrailerAudioDescription15,1084,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
